Customer_ID,Customer_Name,Customer_Type,Industry,Segment,Country,City,Postal_Code,Registration_Date,Region_ID
1,Boone-Moreno,Individual,Manufacturing,Consumer,France,Marseille,19825,2025-02-05,7
2,Lopez-Olson,Company,IT,Corporate,Netherlands,Amsterdam,39642,2025-02-28,17
3,Johnson-Blackwell,Individual,Manufacturing,Small Business,Italy,Milan,74849,2022-10-07,10
4,Alvarado-Diaz,Company,Retail,Consumer,Switzerland,Zurich,16642,2023-04-06,3
5,Massey-Hughes,Individual,Retail,Corporate,Belgium,Brussels,01744,2023-10-03,3
6,Harris LLC,Individual,Retail,Corporate,Netherlands,Amsterdam,15274,2024-09-03,14
7,Cole-Strickland,Company,Retail,Consumer,Austria,Vienna,97805,2026-06-16,5
8,Brooks LLC,Individual,Healthcare,Corporate,Netherlands,Amsterdam,14987,2025-10-24,12
9,Hansen-Reynolds,Company,Telecommunications,Corporate,Austria,Vienna,88759,2024-03-22,20
10,"Spencer, Fowler and Smith",Individual,Telecommunications,Corporate,Austria,Vienna,97019,2024-07-13,17
11,Booth-Walker,Individual,Retail,Consumer,Austria,Vienna,28206,2026-06-17,15
12,Woodward Ltd,Company,Manufacturing,Corporate,France,Marseille,03406,2024-02-25,11
13,Fleming-Cox,Individual,Logistics,Corporate,Netherlands,Amsterdam,68668,2023-11-28,19
14,Davis Group,Company,Education,Consumer,Belgium,Brussels,15003,2023-05-28,4
15,Rodriguez-Garcia,Individual,Retail,Consumer,Netherlands,Amsterdam,56034,2024-11-05,4
16,"Wilkerson, Arroyo and Kennedy",Company,Telecommunications,Consumer,France,Paris,81026,2024-06-21,19
17,Baxter-Russo,Individual,Healthcare,Small Business,Austria,Vienna,81557,2025-08-28,12
18,Snow-Brown,Individual,Finance,Corporate,Spain,Madrid,66816,2024-07-31,5
19,Jacobson Inc,Company,Healthcare,Small Business,Spain,Barcelona,51008,2025-11-27,10
20,Hall-Terry,Company,Logistics,Consumer,Germany,Munich,12683,2023-12-09,5
21,Garcia Inc,Company,Retail,Small Business,Spain,Madrid,66077,2025-01-20,7
22,"Weber, Brooks and Blake",Company,Manufacturing,Small Business,Belgium,Brussels,94805,2025-02-13,14
23,"Robinson, Murphy and Dean",Company,Logistics,Corporate,Germany,Munich,80789,2022-12-09,6
24,"Rodriguez, Wood and Butler",Individual,Logistics,Small Business,Netherlands,Amsterdam,14290,2022-10-30,1
25,Thomas LLC,Company,Retail,Small Business,Italy,Rome,91251,2022-11-09,10
26,"Zamora, Sandoval and Hanna",Individual,Logistics,Corporate,Switzerland,Zurich,23784,2025-08-26,14
27,Holloway-Gibbs,Company,Logistics,Corporate,Austria,Vienna,48016,2023-12-19,12
28,Phillips PLC,Individual,Logistics,Consumer,Spain,Madrid,39536,2026-03-17,20
29,Rose-Collins,Company,Healthcare,Small Business,Spain,Madrid,09284,2023-01-22,13
30,"Williams, Clark and Barker",Company,Manufacturing,Small Business,Germany,Hamburg,95728,2024-10-19,6
31,Juarez-Ross,Individual,Education,Consumer,Germany,Berlin,07822,2025-11-29,15
32,Harvey Group,Company,Logistics,Small Business,Switzerland,Zurich,57899,2026-06-11,6
33,Gill-Duffy,Individual,Finance,Consumer,Spain,Barcelona,99838,2023-09-19,20
34,Becker-Garcia,Company,Logistics,Small Business,Spain,Barcelona,18919,2024-09-10,4
35,Kerr-Brown,Company,IT,Corporate,France,Lyon,75789,2022-12-08,6
36,Salas and Sons,Company,Manufacturing,Consumer,Spain,Madrid,93666,2025-09-19,19
37,Knight and Sons,Company,Retail,Corporate,Netherlands,Amsterdam,98190,2022-10-05,2
38,"Mcgrath, Daniels and Myers",Company,Logistics,Corporate,Germany,Berlin,37163,2026-03-16,3
39,Schneider-Cain,Individual,Retail,Consumer,Germany,Berlin,05001,2023-12-27,9
40,Roberts Ltd,Company,Finance,Corporate,Germany,Hamburg,53518,2023-04-30,12
41,Giles Ltd,Company,Retail,Corporate,France,Paris,17869,2024-03-04,16
42,"Davenport, Quinn and Perez",Company,Logistics,Small Business,Austria,Vienna,78149,2025-04-01,1
43,White PLC,Company,Logistics,Corporate,Netherlands,Amsterdam,40343,2024-02-03,1
44,"Foster, Stanley and Olson",Individual,Finance,Small Business,Belgium,Brussels,29890,2026-05-18,20
45,Hendricks-Petty,Individual,Telecommunications,Consumer,Netherlands,Amsterdam,54057,2025-11-15,14
46,Gilbert LLC,Company,IT,Consumer,Netherlands,Amsterdam,74412,2024-03-10,14
47,Gill-White,Company,Retail,Small Business,Switzerland,Zurich,75874,2024-05-20,17
48,Pierce-Obrien,Individual,Education,Consumer,Switzerland,Zurich,54246,2023-01-07,18
49,Jenkins-Perkins,Company,Healthcare,Corporate,France,Marseille,54613,2026-06-30,11
50,Stone-Hughes,Company,Healthcare,Small Business,France,Marseille,36718,2026-04-12,9
51,"Nichols, Lawrence and Petersen",Individual,Healthcare,Consumer,Austria,Vienna,58429,2026-01-29,18
52,Johnson Inc,Company,Retail,Consumer,Italy,Rome,85730,2024-07-19,9
53,Douglas Group,Individual,Retail,Corporate,France,Paris,61663,2025-03-16,17
54,Scott Group,Company,Manufacturing,Small Business,Netherlands,Amsterdam,65037,2024-01-25,14
55,Christian and Sons,Company,Telecommunications,Consumer,Germany,Frankfurt,75706,2022-09-28,9
56,Tucker-Moore,Company,Education,Corporate,Netherlands,Amsterdam,85405,2023-04-17,15
57,"Lang, Walls and Wallace",Company,Finance,Consumer,Spain,Madrid,81486,2025-08-24,18
58,Bryant-Thomas,Company,Finance,Corporate,Spain,Barcelona,53615,2026-02-11,18
59,Patterson Inc,Company,Retail,Consumer,Germany,Berlin,86924,2023-10-02,14
60,"Parks, Palmer and Grant",Individual,Education,Corporate,Germany,Berlin,09475,2023-12-19,15
61,Graves-Miller,Company,IT,Consumer,France,Lyon,03671,2022-08-10,7
62,Myers-Smith,Company,Finance,Corporate,France,Marseille,86197,2025-09-23,7
63,Baird-Gregory,Individual,Manufacturing,Consumer,Switzerland,Zurich,36148,2023-02-09,4
64,Richards Inc,Company,Education,Consumer,France,Paris,48509,2026-01-02,6
65,Gillespie Ltd,Company,Logistics,Small Business,Austria,Vienna,90271,2023-04-24,19
66,"Brown, Phillips and White",Company,Telecommunications,Corporate,Belgium,Brussels,50525,2023-07-03,13
67,Aguilar-Nichols,Company,Finance,Small Business,Netherlands,Amsterdam,22456,2024-02-13,1
68,Wagner-Flores,Company,Telecommunications,Consumer,Spain,Madrid,60580,2024-03-11,12
69,"Smith, Hess and Pope",Individual,Finance,Small Business,Switzerland,Zurich,80958,2024-12-23,18
70,Robertson-Michael,Company,Logistics,Consumer,Germany,Hamburg,09789,2025-01-19,8
71,Holloway and Sons,Company,Retail,Consumer,Austria,Vienna,43112,2024-10-23,4
72,Ballard PLC,Company,Education,Consumer,Spain,Barcelona,38265,2022-10-29,12
73,Graham and Sons,Individual,Logistics,Consumer,France,Lyon,50759,2022-08-15,16
74,"Mason, Mejia and Webb",Individual,Healthcare,Corporate,Spain,Barcelona,41676,2024-10-21,7
75,Drake-Knox,Company,Telecommunications,Corporate,Switzerland,Zurich,84571,2024-07-22,6
76,Johnston Ltd,Individual,Manufacturing,Consumer,Germany,Frankfurt,24831,2026-06-02,12
77,"Miller, Chaney and Hess",Individual,Healthcare,Corporate,Italy,Milan,03674,2026-03-04,1
78,"Greene, Choi and Jensen",Individual,Healthcare,Corporate,Netherlands,Amsterdam,35976,2024-10-02,5
79,"Johnson, Bush and Watts",Company,Healthcare,Consumer,Spain,Barcelona,45515,2025-12-08,14
80,"Jordan, Santiago and Levy",Company,Education,Corporate,Netherlands,Amsterdam,99006,2025-09-12,11
81,Knox-Hancock,Company,Education,Corporate,Belgium,Brussels,89948,2025-10-30,20
82,Roberts-Hamilton,Company,Telecommunications,Corporate,Germany,Berlin,81343,2023-05-07,12
83,Riley Inc,Individual,Education,Consumer,Netherlands,Amsterdam,65748,2024-09-05,20
84,"Mccormick, Morgan and Murphy",Individual,Telecommunications,Small Business,Austria,Vienna,73330,2024-01-02,10
85,"Dickerson, Morrison and Garcia",Company,Manufacturing,Consumer,Germany,Berlin,66395,2026-02-18,6
86,Young-Ortiz,Company,Retail,Corporate,France,Marseille,54759,2026-04-14,9
87,"Boyer, Rollins and Gibbs",Individual,Finance,Small Business,Austria,Vienna,31496,2024-12-15,4
88,Guerrero-Bennett,Individual,Education,Consumer,Switzerland,Zurich,92800,2022-09-15,14
89,Johnston-Kirby,Company,Healthcare,Consumer,Switzerland,Zurich,23659,2023-08-26,2
