Order_Item_ID,Order_ID,Line_Number,Product_ID,Quantity,Unit_Cost,Unit_Price,Total_Cost,Total_Revenue,Gross_Margin
1,100001,1,113,3,684.57,1087.83,2053.71,3263.49,1209.78
2,100002,1,198,7,69.28,109.24,484.96,764.68,279.72
3,100002,2,169,5,671.51,1081.44,3357.55,5407.2,2049.65
4,100003,1,197,10,201.5,319.45,2015.0,3194.5,1179.5
5,100003,2,240,3,200.57,350.11,601.71,1050.33,448.62
6,100003,3,8,8,756.97,956.23,6055.76,7649.84,1594.08
7,100003,4,83,2,678.05,1128.35,1356.1,2256.7,900.6
8,100003,5,88,9,531.34,941.49,4782.06,8473.41,3691.35
9,100004,1,90,7,811.22,1062.34,5678.54,7436.38,1757.84
10,100005,1,152,5,491.18,726.79,2455.9,3633.95,1178.05
11,100005,2,248,5,397.2,552.4,1986.0,2762.0,776.0
12,100006,1,221,7,94.29,149.87,660.03,1049.09,389.06
13,100006,2,181,4,750.96,1117.85,3003.84,4471.4,1467.56
14,100006,3,217,10,175.44,271.63,1754.4,2716.3,961.9
15,100007,1,96,10,300.81,464.99,3008.1,4649.9,1641.8
16,100007,2,155,10,793.46,1404.58,7934.6,14045.8,6111.2
17,100008,1,45,9,149.87,186.13,1348.83,1675.17,326.34
18,100009,1,176,1,608.59,1064.69,608.59,1064.69,456.1
19,100010,1,102,7,608.53,898.66,4259.71,6290.62,2030.91
20,100011,1,6,1,45.07,76.19,45.07,76.19,31.12
21,100011,2,62,5,300.01,431.94,1500.05,2159.7,659.65
22,100011,3,66,2,62.01,90.71,124.02,181.42,57.4
23,100012,1,49,7,685.83,1120.79,4800.81,7845.53,3044.72
24,100013,1,118,3,233.03,314.31,699.09,942.93,243.84
25,100014,1,201,5,547.61,924.75,2738.05,4623.75,1885.7
26,100014,2,118,5,233.03,314.31,1165.15,1571.55,406.4
27,100014,3,197,9,201.5,319.45,1813.5,2875.05,1061.55
28,100014,4,82,7,84.45,147.68,591.15,1033.76,442.61
29,100015,1,154,9,896.28,1210.75,8066.52,10896.75,2830.23
30,100015,2,173,6,355.69,575.46,2134.14,3452.76,1318.62
31,100015,3,213,3,205.66,258.52,616.98,775.56,158.58
32,100015,4,10,10,398.09,513.87,3980.9,5138.7,1157.8
33,100016,1,108,5,248.98,328.26,1244.9,1641.3,396.4
34,100016,2,100,8,648.91,779.34,5191.28,6234.72,1043.44
35,100016,3,5,6,48.98,60.92,293.88,365.52,71.64
36,100016,4,238,2,838.67,1397.99,1677.34,2795.98,1118.64
37,100017,1,120,7,580.31,870.48,4062.17,6093.36,2031.19
38,100017,2,55,2,177.55,252.04,355.1,504.08,148.98
39,100017,3,110,8,411.65,716.46,3293.2,5731.68,2438.48
40,100017,4,70,3,216.22,311.85,648.66,935.55,286.89
41,100018,1,57,4,245.13,335.22,980.52,1340.88,360.36
42,100018,2,62,3,300.01,431.94,900.03,1295.82,395.79
43,100019,1,65,8,379.32,499.54,3034.56,3996.32,961.76
44,100020,1,111,2,678.93,906.52,1357.86,1813.04,455.18
45,100020,2,18,3,651.7,910.59,1955.1,2731.77,776.67
46,100020,3,120,6,580.31,870.48,3481.86,5222.88,1741.02
47,100020,4,47,7,322.37,465.47,2256.59,3258.29,1001.7
48,100021,1,69,6,34.07,58.68,204.42,352.08,147.66
49,100022,1,180,8,263.81,467.78,2110.48,3742.24,1631.76
50,100022,2,245,6,785.15,968.13,4710.9,5808.78,1097.88
51,100022,3,204,3,139.45,206.01,418.35,618.03,199.68
52,100022,4,117,10,111.98,170.58,1119.8,1705.8,586.0
53,100022,5,54,1,844.71,1037.78,844.71,1037.78,193.07
54,100023,1,225,8,672.09,1203.92,5376.72,9631.36,4254.64
55,100023,2,156,1,580.87,893.84,580.87,893.84,312.97
56,100023,3,48,3,290.36,444.95,871.08,1334.85,463.77
57,100023,4,188,5,283.73,421.83,1418.65,2109.15,690.5
58,100024,1,135,10,683.58,831.11,6835.8,8311.1,1475.3
59,100024,2,243,3,44.08,77.95,132.24,233.85,101.61
60,100025,1,187,8,77.31,102.08,618.48,816.64,198.16
61,100025,2,149,4,349.49,593.43,1397.96,2373.72,975.76
62,100025,3,100,1,648.91,779.34,648.91,779.34,130.43
63,100025,4,90,2,811.22,1062.34,1622.44,2124.68,502.24
64,100026,1,199,6,549.89,887.49,3299.34,5324.94,2025.6
65,100027,1,203,7,557.31,979.15,3901.17,6854.05,2952.88
66,100027,2,130,4,146.15,179.6,584.6,718.4,133.8
67,100027,3,137,4,375.4,467.65,1501.6,1870.6,369.0
68,100027,4,41,10,330.84,502.44,3308.4,5024.4,1716.0
69,100028,1,52,4,384.8,618.69,1539.2,2474.76,935.56
70,100028,2,96,7,300.81,464.99,2105.67,3254.93,1149.26
71,100028,3,152,9,491.18,726.79,4420.62,6541.11,2120.49
72,100028,4,164,4,694.97,905.03,2779.88,3620.12,840.24
73,100028,5,17,9,741.31,1032.46,6671.79,9292.14,2620.35
74,100029,1,111,4,678.93,906.52,2715.72,3626.08,910.36
75,100029,2,81,8,191.5,334.53,1532.0,2676.24,1144.24
76,100029,3,86,9,117.35,157.31,1056.15,1415.79,359.64
77,100029,4,93,4,395.18,693.02,1580.72,2772.08,1191.36
78,100030,1,96,5,300.81,464.99,1504.05,2324.95,820.9
79,100030,2,53,6,561.92,918.37,3371.52,5510.22,2138.7
80,100030,3,66,1,62.01,90.71,62.01,90.71,28.7
81,100030,4,69,10,34.07,58.68,340.7,586.8,246.1
82,100030,5,117,2,111.98,170.58,223.96,341.16,117.2
83,100031,1,167,3,518.69,736.64,1556.07,2209.92,653.85
84,100032,1,168,1,272.69,392.77,272.69,392.77,120.08
85,100032,2,93,4,395.18,693.02,1580.72,2772.08,1191.36
86,100032,3,209,6,891.07,1505.65,5346.42,9033.9,3687.48
87,100033,1,51,1,69.09,86.27,69.09,86.27,17.18
88,100034,1,90,5,811.22,1062.34,4056.1,5311.7,1255.6
89,100034,2,175,6,139.36,231.68,836.16,1390.08,553.92
90,100034,3,111,5,678.93,906.52,3394.65,4532.6,1137.95
91,100034,4,32,10,383.44,559.27,3834.4,5592.7,1758.3
92,100034,5,45,4,149.87,186.13,599.48,744.52,145.04
93,100035,1,22,6,118.42,142.13,710.52,852.78,142.26
94,100035,2,181,7,750.96,1117.85,5256.72,7824.95,2568.23
95,100035,3,185,4,41.14,63.11,164.56,252.44,87.88
96,100035,4,35,10,682.15,1079.36,6821.5,10793.6,3972.1
97,100036,1,216,1,601.57,916.63,601.57,916.63,315.06
98,100036,2,60,4,638.35,917.64,2553.4,3670.56,1117.16
99,100036,3,225,4,672.09,1203.92,2688.36,4815.68,2127.32
100,100037,1,218,7,60.05,107.3,420.35,751.1,330.75
101,100037,2,117,6,111.98,170.58,671.88,1023.48,351.6
102,100038,1,129,7,313.12,432.15,2191.84,3025.05,833.21
103,100038,2,224,4,430.72,527.02,1722.88,2108.08,385.2
104,100038,3,161,6,368.34,444.41,2210.04,2666.46,456.42
