Order_ID,Customer_ID,Employee_ID,Order_Date,Order_Status,Payment_Method
100001,911,68,2026-07-04,Completed,Invoice
100002,752,35,2023-11-12,Cancelled,Bank Transfer
100003,273,7,2023-11-05,In Progress,Bank Transfer
100004,516,55,2026-01-25,Completed,PayPal
100005,572,1,2024-11-02,Cancelled,Invoice
100006,196,72,2025-11-20,In Progress,PayPal
100007,779,68,2025-10-21,Cancelled,Invoice
100008,601,27,2026-03-26,In Progress,PayPal
100009,521,27,2024-12-01,In Progress,Credit Card
100010,946,7,2026-05-19,In Progress,PayPal
100011,320,68,2025-04-19,Completed,PayPal
100012,764,7,2023-08-30,In Progress,Bank Transfer
100013,303,1,2024-06-16,Completed,Credit Card
100014,239,73,2023-10-01,Completed,Bank Transfer
100015,900,68,2024-04-17,Completed,Bank Transfer
100016,664,72,2024-04-14,Completed,Invoice
100017,470,2,2025-01-12,Completed,Invoice
100018,883,72,2026-03-30,Completed,Invoice
100019,951,72,2026-01-20,Completed,Credit Card
100020,364,27,2023-09-21,Completed,Bank Transfer
100021,928,2,2026-02-23,Cancelled,Invoice
100022,645,27,2025-12-01,Completed,Bank Transfer
100023,931,5,2025-03-26,Completed,Invoice
100024,98,7,2023-08-02,In Progress,PayPal
100025,873,55,2024-10-30,Cancelled,PayPal
100026,426,68,2024-08-14,In Progress,Bank Transfer
100027,863,55,2024-08-04,Cancelled,PayPal
100028,714,5,2024-01-20,In Progress,PayPal
100029,53,35,2024-04-03,In Progress,Credit Card
100030,924,27,2024-02-23,Completed,Credit Card
100031,896,68,2024-11-23,Completed,PayPal
100032,944,73,2023-08-05,Completed,Invoice
100033,655,73,2025-06-19,In Progress,Credit Card
100034,49,35,2026-03-14,In Progress,Credit Card
100035,319,27,2025-04-20,Cancelled,Bank Transfer
100036,70,55,2025-08-09,Cancelled,PayPal
100037,960,68,2025-11-14,Completed,PayPal
100038,262,5,2025-07-09,Completed,Bank Transfer
100039,735,55,2024-01-31,Completed,Bank Transfer
100040,279,72,2024-08-26,Completed,Invoice
100041,21,68,2024-09-04,Cancelled,Credit Card
100042,146,1,2025-01-06,Completed,Bank Transfer
100043,74,1,2025-06-15,Completed,Invoice
100044,809,27,2026-06-16,Completed,Invoice
100045,728,5,2023-11-09,Completed,Bank Transfer
100046,652,27,2026-07-02,Completed,PayPal
100047,299,2,2024-12-07,In Progress,Credit Card
100048,61,73,2024-10-19,Completed,PayPal
100049,346,7,2024-04-13,Completed,PayPal
100050,643,68,2025-05-20,Completed,PayPal
100051,600,72,2024-11-07,Completed,Invoice
100052,899,2,2026-07-21,Cancelled,Bank Transfer
100053,260,55,2023-11-07,In Progress,Invoice
100054,588,68,2026-02-04,Completed,PayPal
100055,335,5,2026-05-02,Completed,Credit Card
100056,220,35,2025-11-09,Completed,PayPal
100057,783,7,2026-01-25,Completed,PayPal
100058,743,27,2024-11-26,Cancelled,Invoice
100059,687,1,2024-05-26,Cancelled,Invoice
100060,32,72,2025-06-06,Completed,Bank Transfer
100061,15,55,2025-11-29,Completed,Invoice
100062,152,2,2024-03-23,Completed,PayPal
100063,108,5,2025-04-26,Completed,Credit Card
100064,220,72,2025-08-02,Completed,Bank Transfer
100065,810,1,2026-04-13,Completed,Bank Transfer
100066,308,5,2025-12-22,Completed,PayPal
100067,803,7,2024-05-26,In Progress,Credit Card
100068,362,1,2025-11-25,Completed,Invoice
100069,271,2,2024-07-07,Completed,Credit Card
100070,460,2,2025-03-20,Completed,PayPal
100071,402,72,2025-06-28,Completed,Credit Card
100072,379,5,2026-02-18,Completed,Credit Card
100073,873,72,2025-10-26,Cancelled,PayPal
100074,794,5,2025-04-28,In Progress,Invoice
100075,922,68,2026-01-21,In Progress,Bank Transfer
100076,778,73,2025-01-30,Completed,Bank Transfer
100077,566,5,2025-02-21,Completed,Credit Card
100078,465,5,2023-08-25,Cancelled,PayPal
100079,543,7,2026-03-10,Completed,Invoice
100080,960,7,2026-03-07,Completed,Bank Transfer
100081,434,1,2023-11-25,Cancelled,Credit Card
100082,683,2,2025-12-26,Completed,Invoice
100083,569,7,2023-12-05,Cancelled,PayPal
100084,482,68,2025-04-26,In Progress,PayPal
100085,604,68,2025-05-13,Completed,PayPal
100086,120,1,2024-05-15,Completed,Invoice
100087,176,73,2024-09-25,Completed,Credit Card
100088,382,27,2026-02-12,Cancelled,Invoice
100089,136,35,2024-05-13,Completed,PayPal
100090,428,35,2026-01-15,Completed,Invoice
100091,192,72,2026-02-04,Cancelled,Bank Transfer
100092,955,55,2026-07-15,Completed,Credit Card
100093,590,55,2025-12-06,Completed,Bank Transfer
100094,334,68,2025-05-22,Completed,PayPal
100095,297,68,2026-03-19,In Progress,Invoice
100096,665,7,2024-02-18,Completed,PayPal
100097,191,35,2025-03-21,Cancelled,PayPal
100098,998,27,2024-01-28,In Progress,Credit Card
100099,637,5,2024-11-03,Completed,PayPal
100100,102,72,2024-11-29,Cancelled,PayPal
100101,976,35,2024-07-09,Completed,Credit Card
100102,7,7,2025-05-25,Completed,Invoice
100103,513,55,2026-05-10,Completed,PayPal
100104,208,2,2024-10-17,Completed,Bank Transfer
100105,661,1,2025-12-14,In Progress,Invoice
100106,597,7,2026-02-11,Completed,Bank Transfer
100107,604,1,2025-07-31,In Progress,PayPal
100108,965,55,2024-01-12,In Progress,Bank Transfer
100109,511,1,2026-03-18,Cancelled,Invoice
100110,719,55,2025-12-25,In Progress,Invoice
100111,411,2,2025-01-27,In Progress,PayPal
100112,301,1,2026-03-08,Completed,Invoice
100113,400,55,2024-10-10,In Progress,Bank Transfer
100114,362,73,2026-06-25,Completed,Credit Card
100115,327,27,2025-11-19,Completed,Bank Transfer
100116,654,35,2025-10-11,Cancelled,Credit Card
100117,87,1,2023-09-06,In Progress,Invoice
100118,698,73,2025-07-18,Completed,Bank Transfer
100119,66,27,2024-10-27,Completed,Credit Card
100120,146,68,2024-10-02,In Progress,Credit Card
100121,450,1,2025-09-30,Completed,Invoice
