Product_ID,Product_Name,Category,Subcategory,Brand,Unit_Cost,Standard_Price,Supplier,Product_Status,Profit_Center_ID
1,HP Mouse,Electronics,Mouse,HP,166.38,222.66,EuroTech Supply,Active,3
2,Microsoft Stapler,Office Supplies,Stapler,Microsoft,71.13,88.85,Tech Solutions GmbH,Active,2
3,Samsung Consulting,Services,Consulting,Samsung,204.27,275.43,Smart Office Europe,Active,4
4,Lenovo Pen,Office Supplies,Pen,Lenovo,317.07,402.41,Tech Solutions GmbH,Active,1
5,Lenovo Support,Services,Support,Lenovo,48.98,60.92,Business Systems AG,Active,5
6,Lenovo Analytics Suite,Software,Analytics Suite,Lenovo,45.07,76.19,EuroTech Supply,Active,4
7,Logitech Bookshelf,Furniture,Bookshelf,Logitech,666.3,959.49,Tech Solutions GmbH,Active,2
8,HP Bookshelf,Furniture,Bookshelf,HP,756.97,956.23,Smart Office Europe,Active,6
9,Logitech Paper,Office Supplies,Paper,Logitech,392.4,517.7,Tech Solutions GmbH,Active,5
10,Dell Docking Station,Accessories,Docking Station,Dell,398.09,513.87,Tech Solutions GmbH,Active,1
11,Asus Smartphone,Electronics,Smartphone,Asus,114.87,147.75,Global IT Distribution,Discontinued,3
12,Lenovo CRM License,Software,CRM License,Lenovo,657.73,968.33,NextGen Technologies,Active,2
13,Asus Analytics Suite,Software,Analytics Suite,Asus,358.81,489.47,Global IT Distribution,Active,1
14,Logitech Docking Station,Accessories,Docking Station,Logitech,62.83,77.78,Global IT Distribution,Active,6
15,Cisco Desktop PC,Electronics,Desktop PC,Cisco,653.19,958.95,Global IT Distribution,Active,6
16,Samsung Smartphone,Electronics,Smartphone,Samsung,392.22,475.9,NextGen Technologies,Active,1
17,Lenovo Desk,Furniture,Desk,Lenovo,741.31,1032.46,NextGen Technologies,Active,2
18,Cisco Bookshelf,Furniture,Bookshelf,Cisco,651.7,910.59,NextGen Technologies,Active,6
19,Cisco Conference Table,Furniture,Conference Table,Cisco,206.37,317.08,NextGen Technologies,Active,5
20,HP Conference Table,Furniture,Conference Table,HP,39.99,58.61,Tech Solutions GmbH,Active,4
